epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,1.0,9.999999747378752e-06,0.07398705184459686,1.0,0.699999988079071,0.6212625503540039,0.8999999761581421
1,1.0,9.999999747378752e-06,0.07030211389064789,1.0,0.800000011920929,0.6038265824317932,0.8999999761581421
2,1.0,9.999999747378752e-06,0.0378996804356575,1.0,0.800000011920929,0.6055423021316528,0.8999999761581421
3,1.0,9.999999747378752e-06,0.05679726600646973,1.0,0.800000011920929,0.6057138442993164,0.8999999761581421
4,1.0,9.999999747378752e-06,0.06382773071527481,1.0,0.800000011920929,0.6206368207931519,0.8999999761581421
5,0.9750000238418579,3.499999820633093e-06,0.09396589547395706,1.0,0.800000011920929,0.6489282250404358,0.8999999761581421
6,0.9750000238418579,3.499999820633093e-06,0.058582741767168045,1.0,0.800000011920929,0.6944000124931335,0.8999999761581421
7,1.0,3.499999820633093e-06,0.08154573291540146,1.0,0.800000011920929,0.7247764468193054,0.8999999761581421
8,1.0,1.2249998917468474e-06,0.04378604143857956,1.0,0.800000011920929,0.7496992349624634,0.8999999761581421
9,0.9750000238418579,1.2249998917468474e-06,0.09279835224151611,1.0,0.800000011920929,0.7778494954109192,0.8999999761581421
